"name","Date","avg_volatility","max_volatility","min_volatility"
"AMZN","2022-10-24","0.426","1.39","0.13"
"AMZN","2022-10-25","0.324","1.16","0.11"
"AMZN","2022-10-26","0.425","1.23","0.16"
"AMZN","2022-10-27","0.498","1.5","0.13"
"AMZN","2022-10-28","0.588","2.76","0.18"
"AMZN","2022-10-31","0.407","1.32","0.16"
"AMZN","2022-11-01","0.422","1.14","0.12"
"AMZN","2022-11-02","0.484","2.73","0.11"
"AMZN","2022-11-03","0.427","1.46","0.17"
"AMZN","2022-11-04","0.484","1.2","0.19"
"AMZN","2022-12-16","0.0","0.0","0.0"
"BABA","2022-10-24","0.508","2.0","0.14"
"BABA","2022-10-25","0.349","1.17","0.09"
"BABA","2022-10-26","0.439","1.91","0.12"
"BABA","2022-10-27","0.324","1.49","0.06"
"BABA","2022-10-28","0.287","1.18","0.06"
"BABA","2022-10-31","0.272","1.32","0.08"
"BABA","2022-11-01","0.305","1.06","0.09"
"BABA","2022-11-02","0.351","1.44","0.11"
"BABA","2022-11-03","0.317","1.5","0.07"
"BABA","2022-11-04","0.421","4.18","0.1"
"BABA","2022-12-16","0.0","0.0","0.0"
"BBY","2022-10-24","0.239","1.11","0.07"
"BBY","2022-10-25","0.19","1.12","0.07"
"BBY","2022-10-26","0.216","0.72","0.08"
"BBY","2022-10-27","0.238","0.84","0.06"
"BBY","2022-10-28","0.185","1.08","0.06"
"BBY","2022-10-31","0.23","1.07","0.08"
"BBY","2022-11-01","0.23","0.96","0.07"
"BBY","2022-11-02","0.272","1.29","0.06"
"BBY","2022-11-03","0.242","0.84","0.05"
"BBY","2022-11-04","0.231","0.6","0.08"
"BBY","2022-12-16","0.0","0.0","0.0"
"COST","2022-10-24","1.235","5.76","0.31"
"COST","2022-10-25","0.954","3.2","0.35"
"COST","2022-10-26","1.193","5.05","0.48"
"COST","2022-10-27","1.115","4.13","0.35"
"COST","2022-10-28","1.037","5.58","0.3"
"COST","2022-10-31","1.058","6.46","0.32"
"COST","2022-11-01","0.984","3.28","0.3"
"COST","2022-11-02","1.445","7.92","0.21"
"COST","2022-11-03","1.119","5.36","0.26"
"COST","2022-11-04","1.314","5.11","0.43"
"COST","2022-12-16","0.0","0.0","0.0"
"EBAY","2022-10-24","0.107","0.46","0.02"
"EBAY","2022-10-25","0.088","0.36","0.01"
"EBAY","2022-10-26","0.114","0.68","0.03"
"EBAY","2022-10-27","0.122","0.37","0.03"
"EBAY","2022-10-28","0.116","0.49","0.03"
"EBAY","2022-10-31","0.108","0.36","0.03"
"EBAY","2022-11-01","0.115","0.38","0.02"
"EBAY","2022-11-02","0.16","0.81","0.03"
"EBAY","2022-11-03","0.196","0.6","0.05"
"EBAY","2022-11-04","0.157","0.47","0.07"
"EBAY","2022-12-16","0.0","0.0","0.0"
"HD","2022-10-24","0.743","2.62","0.18"
"HD","2022-10-25","0.694","5.05","0.21"
"HD","2022-10-26","0.678","2.68","0.26"
"HD","2022-10-27","0.749","2.9","0.18"
"HD","2022-10-28","0.622","3.86","0.2"
"HD","2022-10-31","0.749","3.89","0.3"
"HD","2022-11-01","0.724","2.21","0.24"
"HD","2022-11-02","0.937","4.34","0.25"
"HD","2022-11-03","0.791","2.99","0.26"
"HD","2022-11-04","0.915","2.38","0.39"
"HD","2022-12-16","0.0","0.0","0.0"
"KR","2022-10-24","0.108","0.34","0.02"
"KR","2022-10-25","0.087","0.35","0.03"
"KR","2022-10-26","0.101","0.56","0.04"
"KR","2022-10-27","0.091","0.33","0.02"
"KR","2022-10-28","0.095","0.4","0.03"
"KR","2022-10-31","0.088","0.44","0.03"
"KR","2022-11-01","0.092","0.26","0.03"
"KR","2022-11-02","0.118","0.5","0.02"
"KR","2022-11-03","0.095","0.24","0.03"
"KR","2022-11-04","0.12","0.35","0.04"
"KR","2022-12-16","0.0","0.0","0.0"
"SHOP","2022-10-24","0.168","0.5","0.05"
"SHOP","2022-10-25","0.137","0.48","0.03"
"SHOP","2022-10-26","0.198","0.78","0.09"
"SHOP","2022-10-27","0.334","1.15","0.09"
"SHOP","2022-10-28","0.225","1.0","0.06"
"SHOP","2022-10-31","0.253","0.81","0.07"
"SHOP","2022-11-01","0.217","1.15","0.06"
"SHOP","2022-11-02","0.259","1.02","0.05"
"SHOP","2022-11-03","0.199","0.81","0.06"
"SHOP","2022-11-04","0.23","1.03","0.07"
"SHOP","2022-12-16","0.0","0.0","0.0"
"TGT","2022-10-24","0.452","1.85","0.13"
"TGT","2022-10-25","0.413","1.99","0.09"
"TGT","2022-10-26","0.529","2.29","0.18"
"TGT","2022-10-27","0.482","2.08","0.17"
"TGT","2022-10-28","0.429","1.65","0.12"
"TGT","2022-10-31","0.415","1.55","0.18"
"TGT","2022-11-01","0.402","1.53","0.11"
"TGT","2022-11-02","0.518","2.27","0.12"
"TGT","2022-11-03","0.451","1.42","0.13"
"TGT","2022-11-04","0.516","1.51","0.19"
"TGT","2022-12-16","0.0","0.0","0.0"
"WMT","2022-10-24","0.28","0.92","0.1"
"WMT","2022-10-25","0.215","0.81","0.07"
"WMT","2022-10-26","0.253","1.27","0.1"
"WMT","2022-10-27","0.244","0.85","0.08"
"WMT","2022-10-28","0.221","1.23","0.04"
"WMT","2022-10-31","0.239","0.87","0.07"
"WMT","2022-11-01","0.239","0.71","0.08"
"WMT","2022-11-02","0.29","1.45","0.08"
"WMT","2022-11-03","0.264","2.18","0.07"
"WMT","2022-11-04","0.294","0.81","0.11"
"WMT","2022-12-16","0.0","0.0","0.0"
